Project_ID,Date,Region,State,Warehouse,Supplier,Material_Type,Project_Phase,Tower_Type,Substation_Type,Historical_Demand,Current_Inventory,Lead_Time_Days,Supplier_Risk,Commodity_Price,Transportation_Cost,Storage_Capacity,Production_Capacity,Project_Budget,Weather,Season,Quantity_Required
PG-PROJ-EMER-005,2021-03-10,WR,Maharashtra,WH-WR-01,Sterlite Power,Conductor,Stringing,Tension,AIS (Air Insulated),2863.0,3.0,28.0,0.4941567497247733,152.83242061591403,155.0179242307216,7357,3777,527837,Extreme Heat,Summer,2794
PG-PROJ-022,2023-02-22,NER,Manipur,WH-NER-02,Skipper Limited,Insulator,Stringing,Suspension,AIS (Air Insulated),53.0,940.0,26.0,0.06997650739967372,125.23502254891619,116.69900341198209,6261,4275,259697,Heavy Wind,Winter,959
PG-PROJ-025,2025-07-09,ER,West Bengal,WH-ER-01,KEC International,Conductor,Testing & Commissioning,Tension,AIS (Air Insulated),340.0,370.0,70.0,0.21225964062624048,123.00610318621793,59.96547530328124,7731,5528,106644,Rainy,Monsoon,214
PG-PROJ-021,2023-08-09,SR,Tamil Nadu,WH-SR-01,Skipper Limited,Insulator,Planning,Tension,GIS (Gas Insulated),392.0,346.0,36.0,0.4081133934046244,108.62612330099515,33.72841128495899,6869,2785,183442,Normal,Monsoon,90
PG-PROJ-009,2022-08-31,NR,Uttar Pradesh,WH-NR-02,Skipper Limited,Hardware Fittings,Stringing,Suspension,AIS (Air Insulated),204.0,285.0,26.0,0.18593816448271705,103.66490390179635,33.17276924857483,6851,5371,190948,Normal,Monsoon,196
PG-PROJ-EMER-004,2020-12-09,WR,Gujarat,WH-WR-02,Tata Power,Hardware Fittings,Stringing,Angle,AIS (Air Insulated),391.0,813.0,16.0,0.05,102.06697822849436,105.88428321424004,7653,6063,201701,Rainy,Winter,540
PG-PROJ-012,2023-11-29,NER,Assam,WH-NER-01,Tata Power,Transformer,Planning,Suspension,Hybrid,4.0,4.0,92.0,0.28348155622837723,112.76426517883358,46.90993431439477,6926,3976,99220,Normal,Post-Monsoon,0
PG-PROJ-003,2022-03-30,NR,Uttar Pradesh,WH-NR-02,KEC International,Conductor,Planning,Angle,Hybrid,464.0,612.0,48.0,0.20058207464079295,118.3969829435707,63.993569280999964,4403,2583,119298,Extreme Heat,Summer,60
PG-PROJ-005,2020-01-15,NER,Assam,WH-NER-01,Sterlite Power,Conductor,Foundation,Angle,GIS (Gas Insulated),691.0,137.0,44.0,0.2319426325610812,105.17153280715104,37.02037954811717,4813,4795,319949,Normal,Winter,433
PG-PROJ-014,2023-11-01,SR,Andhra Pradesh,WH-SR-02,Tata Power,Transformer,Foundation,Terminal,Hybrid,7.0,5.0,94.0,0.32773230109449164,114.99821950206088,58.1890990680428,4352,6570,233021,Normal,Post-Monsoon,4
PG-PROJ-008,2025-08-27,ER,Bihar,WH-ER-02,Tata Power,Transformer,Foundation,Transposition,GIS (Gas Insulated),2.0,0.0,101.0,0.3791488386555995,118.43260549901497,89.4906375301932,3336,5570,239352,Rainy,Monsoon,2
PG-PROJ-014,2021-09-08,SR,Andhra Pradesh,WH-SR-02,Tata Power,Transformer,Stringing,Transposition,Hybrid,7.0,7.0,92.0,0.31348103010202777,98.98997507896482,63.63570547951253,4352,6570,233021,Heavy Wind,Monsoon,2
PG-PROJ-005,2023-12-27,NER,Assam,WH-NER-01,Skipper Limited,Insulator,Foundation,Suspension,Hybrid,392.0,281.0,48.0,0.42365854121744484,120.77257152945907,90.82097379015322,3807,5548,255959,Normal,Winter,237
PG-PROJ-003,2025-10-08,NR,Uttar Pradesh,WH-NR-02,Kalpataru Power,Tower Member,Foundation,Suspension,AIS (Air Insulated),621.0,35.0,62.0,0.28144276558313175,119.168651005282,55.41342271745613,3450,6981,119298,Normal,Post-Monsoon,655
PG-PROJ-010,2021-07-07,NR,Uttar Pradesh,WH-NR-02,Skipper Limited,Hardware Fittings,Planning,Terminal,AIS (Air Insulated),159.0,96.0,22.0,0.17878955482372436,136.46326201271404,47.76214170444991,6851,5371,238768,Normal,Monsoon,0
PG-PROJ-023,2023-07-26,NER,Manipur,WH-NER-02,Skipper Limited,Insulator,Foundation,Angle,AIS (Air Insulated),250.0,16.0,45.0,0.18833311180882734,113.8790872060911,156.3332109165219,6261,4275,138020,Rainy,Monsoon,158
PG-PROJ-021,2021-09-15,SR,Tamil Nadu,WH-SR-01,Tata Power,Transformer,Stringing,Tension,Hybrid,3.0,1.0,94.0,0.37211730249628383,100.64297807274696,48.61055840913678,4103,5173,183442,Normal,Monsoon,3
PG-PROJ-EMER-004,2025-01-29,WR,Gujarat,WH-WR-02,KEC International,Conductor,Testing & Commissioning,Suspension,GIS (Gas Insulated),1111.0,53.0,20.0,0.1225782135863195,128.62832522705273,145.8645208074778,3377,4289,161360,Normal,Winter,1700
PG-PROJ-EMER-004,2021-10-20,WR,Gujarat,WH-WR-02,Tata Power,Hardware Fittings,Foundation,Angle,AIS (Air Insulated),541.0,278.0,12.0,0.09553575906825545,100.8958930942129,95.34661897403119,7653,6063,161360,Normal,Post-Monsoon,600
PG-PROJ-021,2025-05-07,SR,Tamil Nadu,WH-SR-01,Tata Power,Transformer,Planning,Terminal,GIS (Gas Insulated),1.0,3.0,96.0,0.3102717077803736,131.32202960470735,34.734676830445096,4103,5173,183442,Normal,Summer,0
PG-PROJ-018,2025-04-09,ER,Bihar,WH-ER-02,Sterlite Power,Earthwire,Testing & Commissioning,Angle,AIS (Air Insulated),121.0,215.0,26.0,0.1365103636503794,135.89564294967593,66.24912593796702,6639,4266,176069,Normal,Summer,143
PG-PROJ-022,2020-04-08,NER,Manipur,WH-NER-02,Kalpataru Power,Tower Member,Tower Erection,Tension,GIS (Gas Insulated),346.0,863.0,63.0,0.22577727654226942,105.78024460191351,79.54674394063896,7423,5294,324622,Normal,Summer,870
PG-PROJ-024,2021-12-08,NER,Manipur,WH-NER-02,Tata Power,Transformer,Tower Erection,Tension,AIS (Air Insulated),5.0,3.0,110.0,0.47066952050017447,109.08057047739042,82.02858899899759,6377,4913,125989,Normal,Winter,4
PG-PROJ-001,2022-11-16,NR,Haryana,WH-NR-01,Tata Power,Transformer,Testing & Commissioning,Tension,GIS (Gas Insulated),,,,,110.22189312167265,37.4754436613687,7656,5447,182714,,Post-Monsoon,5
PG-PROJ-EMER-002,2021-12-22,WR,Maharashtra,WH-WR-01,Tata Power,Transformer,Tower Erection,Angle,AIS (Air Insulated),7.0,2.0,45.0,0.2265792155100746,108.70043025001374,86.0581306289359,7733,2121,445929,Heavy Wind,Winter,8
PG-PROJ-011,2022-02-09,NR,Uttar Pradesh,WH-NR-02,Sterlite Power,Earthwire,Testing & Commissioning,Terminal,GIS (Gas Insulated),141.0,173.0,26.0,0.1585060439638886,115.35976021052916,57.67988010526458,4793,6094,231680,Normal,Winter,123
PG-PROJ-EMER-004,2024-11-06,WR,Gujarat,WH-WR-02,KEC International,Conductor,Stringing,Terminal,Hybrid,3182.0,1996.0,22.0,0.16332373149309745,120.90254404467287,66.01278904839138,3377,4289,161360,Normal,Post-Monsoon,3086
PG-PROJ-EMER-001,2025-03-12,SR,Andhra Pradesh,WH-SR-02,Skipper Limited,Insulator,Stringing,Suspension,AIS (Air Insulated),277.0,1263.0,20.0,0.13074144780226632,133.98851446553854,110.94248997746591,4623,6943,381926,Normal,Summer,1956
PG-PROJ-EMER-002,2020-12-30,WR,Maharashtra,WH-WR-01,Skipper Limited,Hardware Fittings,Foundation,Tension,Hybrid,55.0,78.0,10.0,0.12528559699525926,140.73461699954106,80.6831559258369,6593,5077,557412,Heavy Wind,Winter,362
PG-PROJ-014,2020-01-29,SR,Andhra Pradesh,WH-SR-02,Kalpataru Power,Tower Member,Stringing,Suspension,Hybrid,1961.0,2193.0,61.0,0.24171941207284142,104.048769937915,52.648677588584974,6057,5226,291277,Normal,Winter,356
PG-PROJ-004,2021-09-29,ER,West Bengal,WH-ER-01,Sterlite Power,Earthwire,Testing & Commissioning,Transposition,AIS (Air Insulated),233.0,232.0,62.0,0.259768395628961,101.50296748579933,47.83327342768293,6612,6791,91129,Rainy,Monsoon,73
PG-PROJ-001,2023-04-12,NR,Haryana,WH-NR-01,Skipper Limited,Insulator,Foundation,Suspension,GIS (Gas Insulated),420.0,324.0,42.0,0.40767422638479595,123.28595198780535,29.588628477073282,3042,6508,182714,Normal,Summer,293
PG-PROJ-019,2025-10-08,NR,Uttar Pradesh,WH-NR-02,Skipper Limited,Hardware Fittings,Foundation,Tension,GIS (Gas Insulated),358.0,438.0,18.0,0.12594634937277946,119.168651005282,52.43420644232408,6851,5371,107760,Normal,Post-Monsoon,328
PG-PROJ-020,2025-02-19,ER,Bihar,WH-ER-02,Sterlite Power,Earthwire,Testing & Commissioning,Terminal,AIS (Air Insulated),414.0,180.0,36.0,0.1948614881979469,133.82271194803178,70.25692377271669,6639,4266,245940,Normal,Winter,152
PG-PROJ-EMER-004,2023-06-28,WR,Gujarat,WH-WR-02,KEC International,Conductor,Stringing,Transposition,Hybrid,2512.0,2462.0,20.0,0.11692797821917578,115.89366125290833,73.01300658933224,3377,4289,161360,Normal,Monsoon,2682
PG-PROJ-EMER-002,2020-08-05,WR,Maharashtra,WH-WR-01,Tata Power,Transformer,Stringing,Suspension,AIS (Air Insulated),5.0,1894.0,48.0,0.2376499532429472,98.6244695271239,118.46771279598124,7733,2121,557412,Heavy Wind,Monsoon,4
PG-PROJ-001,2020-09-30,NR,Haryana,WH-NR-01,Kalpataru Power,Tower Member,Testing & Commissioning,Suspension,AIS (Air Insulated),369.0,129.0,64.0,0.23068428457091097,95.74529185380369,20.106511289298776,4779,5632,228393,Normal,Monsoon,347
PG-PROJ-011,2022-08-03,NR,Uttar Pradesh,WH-NR-02,Kalpataru Power,Tower Member,Foundation,Terminal,GIS (Gas Insulated),950.0,268.0,60.0,0.2756998183591837,107.47813353485927,37.61734673720074,3450,6981,231680,Normal,Monsoon,651
PG-PROJ-017,2022-12-28,SR,Andhra Pradesh,WH-SR-02,KEC International,Conductor,Testing & Commissioning,Terminal,GIS (Gas Insulated),874.0,217.0,55.0,0.29812178525361055,117.79866176671712,71.66281588578235,7366,6700,313601,Extreme Heat,Winter,321
PG-PROJ-001,2022-10-05,NR,Haryana,WH-NR-01,Skipper Limited,Hardware Fittings,Testing & Commissioning,Transposition,Hybrid,201.0,265.0,20.0,0.16836645263914235,106.34848512921282,26.587121282303205,5534,3878,182714,Normal,Post-Monsoon,187
PG-PROJ-021,2025-08-13,SR,Tamil Nadu,WH-SR-01,Tata Power,Transformer,Tower Erection,Angle,GIS (Gas Insulated),3.0,5.0,93.0,0.3168343006641315,120.56738881288034,57.679438808081954,4103,5173,183442,Normal,Monsoon,4
PG-PROJ-EMER-002,2024-01-17,WR,Maharashtra,WH-WR-01,Kalpataru Power,Tower Member,Planning,Terminal,Hybrid,626.0,231.0,27.0,0.14056285606613927,126.8033484602709,86.54328532413489,3816,6628,445929,Heavy Wind,Winter,82
PG-PROJ-025,2022-12-14,ER,West Bengal,WH-ER-01,Skipper Limited,Hardware Fittings,Stringing,Angle,AIS (Air Insulated),323.0,291.0,21.0,0.06987412827121801,115.24730101764031,54.74246798337915,3274,4284,106644,Normal,Winter,183
PG-PROJ-EMER-003,2021-12-08,NER,Manipur,WH-NER-02,KEC International,Conductor,Testing & Commissioning,Terminal,AIS (Air Insulated),463.0,711.0,27.0,0.2146904564864013,109.08057047739042,136.48160978131088,5461,6191,206788,Extreme Cold,Winter,1104
PG-PROJ-003,2023-01-25,NR,Uttar Pradesh,WH-NR-02,Tata Power,Transformer,Foundation,Tension,Hybrid,4.0,1.0,110.0,0.5229925030468933,118.537977494659,56.89822919743632,4648,2560,119298,Normal,Winter,5
PG-PROJ-023,2021-06-23,NER,Manipur,WH-NER-02,Tata Power,Transformer,Planning,Suspension,Hybrid,2.0,6.0,113.0,0.7215699784845889,144.54668128199353,102.22341300262585,6377,4913,172525,Rainy,Monsoon,1
PG-PROJ-EMER-001,2020-05-20,SR,Andhra Pradesh,WH-SR-02,Kalpataru Power,Earthwire,Stringing,Angle,AIS (Air Insulated),4.0,974.0,14.0,0.14098994351186303,108.19847315338234,121.93967924386187,7158,6118,477408,Normal,Summer,740
PG-PROJ-005,2021-02-17,NER,Assam,WH-NER-01,Tata Power,Hardware Fittings,Foundation,Angle,AIS (Air Insulated),7.0,493.0,26.0,0.1901044377560566,154.00565300087416,120.74043195268536,4113,5424,319949,Normal,Winter,322
PG-PROJ-021,2025-09-03,SR,Tamil Nadu,WH-SR-01,Kalpataru Power,Earthwire,Tower Erection,Angle,AIS (Air Insulated),114.0,81.0,30.0,0.18390546969128455,119.53401519776527,87.97703518555525,4017,4962,183442,Normal,Monsoon,111
PG-PROJ-EMER-003,2025-04-16,NER,Manipur,WH-NER-02,KEC International,Conductor,Planning,Transposition,AIS (Air Insulated),269.0,282.0,24.0,0.12159215094065773,135.60389286167035,231.28599966486496,5461,6191,206788,Heavy Wind,Summer,0
PG-PROJ-EMER-004,2021-06-09,WR,Gujarat,WH-WR-02,Sterlite Power,Earthwire,Planning,Suspension,GIS (Gas Insulated),31.0,53.0,17.0,0.1286857055498786,145.96843067963977,76.63342610681087,6696,4730,201701,Normal,Monsoon,70
PG-PROJ-011,2020-05-20,NR,Uttar Pradesh,WH-NR-02,Skipper Limited,Insulator,Stringing,Suspension,Hybrid,1158.0,1.0,47.0,0.3443057927414669,108.19847315338234,44.30727475631007,3758,5267,289600,Heavy Wind,Summer,864
PG-PROJ-EMER-004,2023-04-19,WR,Gujarat,WH-WR-02,Kalpataru Power,Tower Member,Tower Erection,Terminal,GIS (Gas Insulated),1993.0,2143.0,38.0,0.18016849289264503,124.49683043116144,90.19795364737645,6114,4427,161360,Extreme Heat,Summer,2214
PG-PROJ-EMER-004,2020-12-30,WR,Gujarat,WH-WR-02,KEC International,Conductor,Stringing,Transposition,Hybrid,2877.0,1.0,24.0,0.5083405543080523,140.73461699954106,177.32561741942175,3377,4289,201701,Normal,Winter,2132
PG-PROJ-EMER-005,2024-05-22,WR,Maharashtra,WH-WR-01,Sterlite Power,Conductor,Testing & Commissioning,Suspension,GIS (Gas Insulated),3046.0,686.0,30.0,0.2423396986192923,127.91939662340202,64.87432199755833,7357,3777,422269,Extreme Heat,Summer,960
PG-PROJ-022,2025-02-26,NER,Manipur,WH-NER-02,KEC International,Conductor,Planning,Transposition,AIS (Air Insulated),175.0,852.0,42.0,0.22146731004171916,134.7817051240355,98.68177322361385,5461,6191,259697,Heavy Wind,Winter,109
PG-PROJ-014,2021-02-10,SR,Andhra Pradesh,WH-SR-02,Skipper Limited,Insulator,Foundation,Terminal,Hybrid,435.0,196.0,36.0,0.17745731036624787,152.90042942425666,68.5758425967791,4623,6943,291277,Normal,Winter,302
PG-PROJ-016,2024-10-23,NR,Haryana,WH-NR-01,KEC International,Conductor,Foundation,Transposition,AIS (Air Insulated),560.0,751.0,51.0,0.416734137965499,116.91110987223054,50.1548661351869,7820,3804,148535,Rainy,Post-Monsoon,551
PG-PROJ-024,2020-06-24,NER,Manipur,WH-NER-02,Skipper Limited,Insulator,Tower Erection,Tension,AIS (Air Insulated),50.0,3.0,48.0,0.1762394112615378,102.57023003841094,140.80841179673058,6261,4275,157487,Rainy,Monsoon,92
PG-PROJ-EMER-004,2023-05-17,WR,Gujarat,WH-WR-02,Tata Power,Hardware Fittings,Tower Erection,Transposition,AIS (Air Insulated),211.0,185.0,9.0,0.09054934272780858,121.61950283781687,82.23910781893177,7653,6063,161360,Extreme Heat,Summer,334
PG-PROJ-012,2022-11-30,NER,Assam,WH-NER-01,Kalpataru Power,Earthwire,Stringing,Tension,AIS (Air Insulated),433.0,84.0,36.0,0.2123052433899965,109.01073214840149,48.83680800248387,4938,3105,99220,Normal,Post-Monsoon,399
PG-PROJ-019,2024-02-21,NR,Uttar Pradesh,WH-NR-02,Skipper Limited,Insulator,Stringing,Terminal,AIS (Air Insulated),200.0,8.0,30.0,0.1307551026562599,127.97713069475714,76.78627841685429,3758,5267,107760,Normal,Winter,1013
PG-PROJ-003,2022-06-08,NR,Uttar Pradesh,WH-NR-02,Tata Power,Transformer,Tower Erection,Transposition,Hybrid,0.0,2.0,86.0,0.30479913044875195,111.36209186713431,31.181385722797607,4648,2560,119298,Normal,Monsoon,4
PG-PROJ-016,2022-11-02,NR,Haryana,WH-NR-01,Tata Power,Transformer,Foundation,Terminal,Hybrid,4.0,5.0,88.0,0.3550197454781071,110.4444508099638,34.23777975108877,7656,5447,148535,Normal,Post-Monsoon,4
PG-PROJ-020,2021-06-02,ER,Bihar,WH-ER-02,Tata Power,Hardware Fittings,Testing & Commissioning,Suspension,AIS (Air Insulated),330.0,132.0,40.0,0.17394487492339056,140.67615157463462,109.72739822821501,4463,4897,307425,Rainy,Monsoon,101
PG-PROJ-017,2021-02-03,SR,Andhra Pradesh,WH-SR-02,Skipper Limited,Insulator,Tower Erection,Angle,Hybrid,266.0,498.0,35.0,0.20269856935650216,151.80091468033524,102.12406535119551,4623,6943,392002,Heavy Wind,Winter,419
PG-PROJ-006,2024-11-20,ER,Bihar,WH-ER-02,KEC International,Conductor,Planning,Terminal,GIS (Gas Insulated),237.0,1018.0,46.0,0.20173217043605987,118.81211042916217,55.99020703974268,7747,4081,82725,Rainy,Post-Monsoon,0
PG-PROJ-005,2025-05-28,NER,Assam,WH-NER-01,KEC International,Tower Member,Tower Erection,Angle,Hybrid,1104.0,276.0,66.0,0.2470362866665668,134.57902522421801,96.89689816143697,5986,3603,255959,Normal,Summer,1131
PG-PROJ-019,2023-09-20,NR,Uttar Pradesh,WH-NR-02,Sterlite Power,Earthwire,Foundation,Angle,AIS (Air Insulated),384.0,134.0,31.0,0.15068293646520298,109.42130985031523,29.543753659585107,4793,6094,107760,Normal,Monsoon,106
PG-PROJ-021,2021-03-31,SR,Tamil Nadu,WH-SR-01,Kalpataru Power,Earthwire,Planning,Angle,AIS (Air Insulated),75.0,59.0,33.0,0.16732387162515955,156.94686004285626,70.39066672922102,4017,4962,229303,Normal,Summer,20
PG-PROJ-025,2022-08-10,ER,West Bengal,WH-ER-01,Tata Power,Transformer,Foundation,Suspension,Hybrid,1.0,0.0,115.0,0.4320348097130559,104.06784410110717,119.2227238983309,3774,3860,106644,Rainy,Monsoon,2
PG-PROJ-020,2024-06-19,ER,Bihar,WH-ER-02,KEC International,Conductor,Foundation,Angle,AIS (Air Insulated),812.0,831.0,63.0,0.12171277569531863,121.42644563243744,88.79308836871986,7747,4081,245940,Rainy,Monsoon,260
PG-PROJ-014,2023-09-13,SR,Andhra Pradesh,WH-SR-02,Tata Power,Hardware Fittings,Planning,Terminal,GIS (Gas Insulated),23.0,410.0,17.0,0.1517062902995841,107.20446875500895,40.684095892525896,5086,5728,233021,Normal,Monsoon,45
PG-PROJ-EMER-005,2023-01-18,WR,Maharashtra,WH-WR-01,Skipper Limited,Insulator,Planning,Suspension,AIS (Air Insulated),1716.0,771.0,19.0,0.19922012880904363,120.88483041295075,148.50701416231,4773,2800,422269,Heavy Wind,Winter,60
PG-PROJ-009,2022-03-23,NR,Uttar Pradesh,WH-NR-02,Kalpataru Power,Tower Member,Foundation,Tension,GIS (Gas Insulated),382.0,875.0,60.0,0.2407711383490713,119.994086191596,46.79769361472244,3450,6981,190948,Normal,Summer,607
PG-PROJ-016,2021-03-24,NR,Haryana,WH-NR-01,Skipper Limited,Hardware Fittings,Stringing,Tension,AIS (Air Insulated),,-150.0,,,155.99109642589903,58.80864335256394,5534,3878,185669,,Summer,215
PG-PROJ-002,2023-05-17,ER,West Bengal,WH-ER-01,Sterlite Power,Earthwire,Planning,Transposition,Hybrid,184.0,137.0,32.0,0.21097336862474317,121.61950283781687,51.38423994897762,6612,6791,308743,Rainy,Summer,24
PG-PROJ-012,2024-08-07,NER,Assam,WH-NER-01,KEC International,Tower Member,Planning,Terminal,GIS (Gas Insulated),241.0,122.0,85.0,0.3475782852682672,113.36112260893493,115.53765616302651,5986,3603,99220,Rainy,Monsoon,137
PG-PROJ-010,2023-12-13,NR,Uttar Pradesh,WH-NR-02,KEC International,Conductor,Planning,Tension,Hybrid,362.0,769.0,45.0,0.23024467202565557,120.58024520850529,31.350863754211378,4403,2583,238768,Normal,Winter,0
PG-PROJ-014,2024-08-14,SR,Andhra Pradesh,WH-SR-02,Tata Power,Transformer,Testing & Commissioning,Transposition,GIS (Gas Insulated),7.0,4.0,103.0,0.5617345976559434,114.46729116666222,38.17484160408184,4352,6570,233021,Normal,Monsoon,8
PG-PROJ-004,2025-04-30,ER,West Bengal,WH-ER-01,Sterlite Power,Earthwire,Foundation,Tension,AIS (Air Insulated),388.0,195.0,31.0,0.21576303234903926,135.6156376058534,68.31637744394865,6612,6791,91129,Rainy,Summer,174
PG-PROJ-011,2024-03-13,NR,Uttar Pradesh,WH-NR-02,Skipper Limited,Insulator,Tower Erection,Tension,Hybrid,878.0,698.0,31.0,0.1117692386171889,130.86511890138718,60.1979546946381,3758,5267,231680,Normal,Summer,390
PG-PROJ-021,2024-01-03,SR,Tamil Nadu,WH-SR-01,Kalpataru Power,Earthwire,Tower Erection,Tension,GIS (Gas Insulated),152.0,196.0,35.0,0.1821458126933348,130.67909723598208,69.12924243783452,4017,4962,183442,Normal,Winter,133
PG-PROJ-EMER-001,2023-08-02,SR,Andhra Pradesh,WH-SR-02,Kalpataru Power,Tower Member,Foundation,Suspension,AIS (Air Insulated),1452.0,1636.0,35.0,0.1771232875474838,109.69757839683388,147.59809173293996,6057,5226,381926,Rainy,Monsoon,1224
PG-PROJ-EMER-004,2020-11-04,WR,Gujarat,WH-WR-02,Kalpataru Power,Tower Member,Tower Erection,Suspension,GIS (Gas Insulated),1873.0,2893.0,31.0,0.12025496992353757,97.84375547598734,100.68122438479098,6114,4427,201701,Normal,Post-Monsoon,1866
PG-PROJ-EMER-004,2025-02-12,WR,Gujarat,WH-WR-02,Tata Power,Transformer,Planning,Tension,GIS (Gas Insulated),1.0,2.0,43.0,0.1944726915760355,132.23475103110718,83.0302001724322,5147,2104,161360,Heavy Wind,Winter,2
PG-PROJ-002,2025-08-27,ER,West Bengal,WH-ER-01,KEC International,Tower Member,Planning,Tension,AIS (Air Insulated),889.0,1348.0,74.0,0.1957929559723714,118.43260549901497,76.98119357435974,5578,2314,308743,Rainy,Monsoon,0
PG-PROJ-020,2023-09-13,ER,Bihar,WH-ER-02,KEC International,Conductor,Stringing,Transposition,GIS (Gas Insulated),270.0,1004.0,62.0,0.23560032338541947,107.20446875500895,73.16704992529361,7747,4081,245940,Rainy,Monsoon,977
PG-PROJ-016,2023-12-20,NR,Haryana,WH-NR-01,Skipper Limited,Hardware Fittings,Tower Erection,Suspension,AIS (Air Insulated),226.0,302.0,49.0,0.36226834886143966,120.67452508021447,69.3878519211233,5534,3878,148535,Extreme Cold,Winter,229
PG-PROJ-012,2025-01-15,NER,Assam,WH-NER-01,KEC International,Tower Member,Tower Erection,Suspension,AIS (Air Insulated),1076.0,976.0,58.0,0.1726718690200751,128.76341853799858,85.70493137889186,5986,3603,99220,Rainy,Winter,1128
PG-PROJ-025,2022-09-28,ER,West Bengal,WH-ER-01,KEC International,Conductor,Tower Erection,Suspension,AIS (Air Insulated),562.0,449.0,75.0,0.3228018503508238,104.92695078779845,69.90758096237072,7731,5528,106644,Rainy,Monsoon,323
PG-PROJ-014,2020-01-29,SR,Andhra Pradesh,WH-SR-02,Tata Power,Transformer,Stringing,Tension,AIS (Air Insulated),8.0,1789.0,107.0,0.48726729856478324,104.048769937915,44.27275160858282,4352,6570,291277,Normal,Winter,3
PG-PROJ-016,2024-05-08,NR,Haryana,WH-NR-01,Tata Power,Transformer,Testing & Commissioning,Transposition,AIS (Air Insulated),5.0,11.0,122.0,0.5051979510598402,125.08338283310603,44.5922259800023,7656,5447,148535,Extreme Heat,Summer,9
