Feature Name,Importance,Correlation,Variance,Status,Reason
DWT_cD_3_Mean,0.011085,N/A,589.567316,Selected,Kept (Selected (Top Importance))
DWT_cD_3_Std,0.011269,Corr=0.8839 (Keep EMD_IMF_6_Std over DWT_cD_3_Std due to higher importance/variance),14643.116670,Removed,Corr=0.8839 (Keep EMD_IMF_6_Std over DWT_cD_3_Std due to higher importance/variance)
DWT_cD_3_Var,0.011321,Corr=0.9537 (Keep DWT_cD_2_Var over DWT_cD_3_Var due to higher importance/variance),2183004533.656055,Removed,Corr=0.9537 (Keep DWT_cD_2_Var over DWT_cD_3_Var due to higher importance/variance)
DWT_cD_3_Entropy,0.010961,N/A,0.056801,Selected,Kept (Selected (Top Importance))
DWT_cD_2_Energy,0.011408,Corr=0.9520 (Keep DWT_cD_2_Std over DWT_cD_2_Energy due to higher importance/variance),5240162306952.830078,Removed,Corr=0.9520 (Keep DWT_cD_2_Std over DWT_cD_2_Energy due to higher importance/variance)
DWT_cD_2_Mean,0.011294,N/A,133.775053,Selected,Kept (Selected (Top Importance))
DWT_cD_2_Std,0.011456,N/A,8756.041889,Selected,Kept (Selected (Top Importance))
DWT_cD_2_Var,0.011334,Corr=0.9513 (Keep DWT_cD_2_Std over DWT_cD_2_Var due to higher importance/variance),756991910.288002,Removed,Corr=0.9513 (Keep DWT_cD_2_Std over DWT_cD_2_Var due to higher importance/variance)
DWT_cD_2_Entropy,0.011014,N/A,0.108735,Selected,Kept (Selected (Top Importance))
DWT_cD_1_Energy,0.011169,Corr=0.8603 (Keep EMD_IMF_6_Energy over DWT_cD_1_Energy due to higher importance/variance),18219378123903.632812,Removed,Corr=0.8603 (Keep EMD_IMF_6_Energy over DWT_cD_1_Energy due to higher importance/variance)
DWT_cD_1_Mean,0.011085,N/A,134.263809,Selected,Kept (Selected (Top Importance))
DWT_cD_1_Std,0.010957,Corr=0.8842 (Keep EMD_IMF_6_Std over DWT_cD_1_Std due to higher importance/variance),8433.721464,Removed,Corr=0.8842 (Keep EMD_IMF_6_Std over DWT_cD_1_Std due to higher importance/variance)
DWT_cD_1_Var,0.010913,Corr=0.8573 (Keep EMD_IMF_6_Energy over DWT_cD_1_Var due to higher importance/variance),714506989.790615,Removed,Corr=0.8573 (Keep EMD_IMF_6_Energy over DWT_cD_1_Var due to higher importance/variance)
DWT_cD_1_Entropy,0.011116,N/A,0.196383,Selected,Kept (Selected (Top Importance))
DWT_Approximation_Energy_Ratio,0.010946,N/A,0.000539,Selected,Kept (Selected (Top Importance))
DWT_Detail_Energy_Ratio,0.010920,Corr=1.0000 (Keep DWT_Approximation_Energy_Ratio over DWT_Detail_Energy_Ratio due to higher importance/variance),0.000539,Removed,Corr=1.0000 (Keep DWT_Approximation_Energy_Ratio over DWT_Detail_Energy_Ratio due to higher importance/variance)
Num_IMFs,N/A,N/A,0.000000,Removed,Constant feature (variance = 0)
EMD_IMF_1_Energy,0.011004,Corr=0.8649 (Keep EMD_IMF_2_Var over EMD_IMF_1_Energy due to higher importance/variance),108240181420491.437500,Removed,Corr=0.8649 (Keep EMD_IMF_2_Var over EMD_IMF_1_Energy due to higher importance/variance)
EMD_IMF_1_Mean,0.010219,N/A,564.839100,Selected,Kept (Selected (Top Importance))
EMD_IMF_1_Std,0.011320,Corr=0.8765 (Keep EMD_IMF_3_Var over EMD_IMF_1_Std due to higher importance/variance),8541.635382,Removed,Corr=0.8765 (Keep EMD_IMF_3_Var over EMD_IMF_1_Std due to higher importance/variance)
EMD_IMF_1_Var,0.011044,Corr=0.8843 (Keep EMD_IMF_2_Var over EMD_IMF_1_Var due to higher importance/variance),968357895.555533,Removed,Corr=0.8843 (Keep EMD_IMF_2_Var over EMD_IMF_1_Var due to higher importance/variance)
EMD_IMF_2_Energy,0.011190,Corr=0.8646 (Keep EMD_IMF_6_Energy over EMD_IMF_2_Energy due to higher importance/variance),24592699308216.101562,Removed,Corr=0.8646 (Keep EMD_IMF_6_Energy over EMD_IMF_2_Energy due to higher importance/variance)
EMD_IMF_2_Mean,0.010555,N/A,30.778291,Selected,Kept (Selected (Top Importance))
EMD_IMF_2_Std,0.011348,Corr=0.8969 (Keep EMD_IMF_3_Var over EMD_IMF_2_Std due to higher importance/variance),4746.801881,Removed,Corr=0.8969 (Keep EMD_IMF_3_Var over EMD_IMF_2_Std due to higher importance/variance)
EMD_IMF_2_Var,0.011225,Corr=0.8662 (Keep EMD_IMF_6_Energy over EMD_IMF_2_Var due to higher importance/variance),250755238.760428,Removed,Corr=0.8662 (Keep EMD_IMF_6_Energy over EMD_IMF_2_Var due to higher importance/variance)
EMD_IMF_3_Energy,0.011322,Corr=0.9999 (Keep EMD_IMF_3_Var over EMD_IMF_3_Energy due to higher importance/variance),22442031543331.285156,Removed,Corr=0.9999 (Keep EMD_IMF_3_Var over EMD_IMF_3_Energy due to higher importance/variance)
EMD_IMF_3_Mean,0.011020,N/A,91.593525,Selected,Kept (Selected (Top Importance))
EMD_IMF_3_Std,0.011420,Corr=0.8713 (Keep DWT_cD_2_Std over EMD_IMF_3_Std due to higher importance/variance),4672.864439,Removed,Corr=0.8713 (Keep DWT_cD_2_Std over EMD_IMF_3_Std due to higher importance/variance)
EMD_IMF_3_Var,0.011363,Corr=0.9538 (Keep EMD_IMF_3_Std over EMD_IMF_3_Var due to higher importance/variance),225095516.439858,Removed,Corr=0.9538 (Keep EMD_IMF_3_Std over EMD_IMF_3_Var due to higher importance/variance)
EMD_IMF_4_Energy,0.010886,Corr=0.9996 (Keep EMD_IMF_4_Var over EMD_IMF_4_Energy due to higher importance/variance),21633745141912.859375,Removed,Corr=0.9996 (Keep EMD_IMF_4_Var over EMD_IMF_4_Energy due to higher importance/variance)
EMD_IMF_4_Mean,0.011106,N/A,186.269985,Selected,Kept (Selected (Top Importance))
EMD_IMF_4_Std,0.010940,Corr=0.8940 (Keep EMD_IMF_6_Std over EMD_IMF_4_Std due to higher importance/variance),4769.614342,Removed,Corr=0.8940 (Keep EMD_IMF_6_Std over EMD_IMF_4_Std due to higher importance/variance)
EMD_IMF_4_Var,0.010942,N/A,210807538.611668,Selected,Kept (Selected (Top Importance))
EMD_IMF_5_Energy,0.011063,Corr=0.9995 (Keep EMD_IMF_5_Var over EMD_IMF_5_Energy due to higher importance/variance),193568673696618.125000,Removed,Corr=0.9995 (Keep EMD_IMF_5_Var over EMD_IMF_5_Energy due to higher importance/variance)
EMD_IMF_5_Mean,0.011298,N/A,1392.095473,Selected,Kept (Selected (Top Importance))
EMD_IMF_5_Std,0.011241,Corr=0.8643 (Keep Residual_Mean over EMD_IMF_5_Std due to higher importance/variance),14223.983486,Removed,Corr=0.8643 (Keep Residual_Mean over EMD_IMF_5_Std due to higher importance/variance)
EMD_IMF_5_Var,0.011218,Corr=0.9562 (Keep EMD_IMF_5_Std over EMD_IMF_5_Var due to higher importance/variance),1814027904.580740,Removed,Corr=0.9562 (Keep EMD_IMF_5_Std over EMD_IMF_5_Var due to higher importance/variance)
EMD_IMF_6_Energy,0.011250,Corr=0.9651 (Keep EMD_IMF_6_Var over EMD_IMF_6_Energy due to higher importance/variance),42173274059480528.000000,Removed,Corr=0.9651 (Keep EMD_IMF_6_Var over EMD_IMF_6_Energy due to higher importance/variance)
EMD_IMF_6_Mean,0.011058,Corr=0.9379 (Keep EMD_IMF_6_Var over EMD_IMF_6_Mean due to higher importance/variance),167101.847015,Removed,Corr=0.9379 (Keep EMD_IMF_6_Var over EMD_IMF_6_Mean due to higher importance/variance)
EMD_IMF_6_Std,0.011322,Corr=0.8867 (Keep EMD_IMF_3_Std over EMD_IMF_6_Std due to higher importance/variance),47506.963243,Removed,Corr=0.8867 (Keep EMD_IMF_3_Std over EMD_IMF_6_Std due to higher importance/variance)
EMD_IMF_6_Var,0.011289,Corr=0.9622 (Keep EMD_IMF_6_Std over EMD_IMF_6_Var due to higher importance/variance),20283310153.081310,Removed,Corr=0.9622 (Keep EMD_IMF_6_Std over EMD_IMF_6_Var due to higher importance/variance)
Dominant_IMF,N/A,N/A,0.000000,Removed,Constant feature (variance = 0)
EMD_Resid_Energy,N/A,N/A,0.000000,Removed,Low variance (0.00000)
EMD_Resid_Mean,N/A,N/A,0.000000,Removed,Low variance (0.00000)
EMD_Resid_Std,N/A,N/A,0.000000,Removed,Low variance (0.00000)
EMD_Resid_Var,N/A,N/A,0.000000,Removed,Low variance (0.00000)
EMD_Resid_Slope,N/A,N/A,0.000000,Removed,Low variance (0.00000)
