Date,Material,Region,Actual_Demand,P10,P50,P90,Error_From_P50,Outside_Bound
2025-06-11,Tower Member,ER,405.0,346.8583379087112,370.6635268682726,396.3345540699493,34.336473131727416,OVER_P90
2025-07-16,Earthwire,SR,411.0,428.3796375083349,444.6653768031625,525.5047706599019,-33.665376803162474,UNDER_P10
2025-08-27,Conductor,WR,998.0,591.242452519099,964.3706234929356,989.610324805386,33.62937650706442,OVER_P90
2025-07-16,Earthwire,NER,76.0,85.78404862965526,109.36948980480116,203.24822165165267,-33.36948980480116,UNDER_P10
2025-11-19,Hardware Fittings,WR,208.0,138.6399536127737,175.38624289142456,205.98167117103424,32.61375710857544,OVER_P90
2025-04-09,Insulator,SR,1366.0,591.242452519099,1333.456533299193,1348.9976723495215,32.5434667008069,OVER_P90
2025-06-11,Hardware Fittings,NER,119.0,134.99521800124347,150.72757287576516,204.5387116467237,-31.727572875765162,UNDER_P10
2025-06-04,Hardware Fittings,NR,361.0,362.2539246364507,392.34316140580177,414.2098300768599,-31.343161405801766,UNDER_P10
2025-03-19,Hardware Fittings,ER,445.0,400.45877416543664,414.36110323531454,433.08104011237214,30.638896764685455,OVER_P90
2025-06-11,Hardware Fittings,SR,389.0,392.2245186137915,419.2963442822066,418.6533195580633,-30.296344282206576,UNDER_P10
2025-09-03,Hardware Fittings,NER,109.0,126.4142602817358,139.22757287576516,200.9934815035105,-30.227572875765162,UNDER_P10
2025-02-26,Earthwire,NR,328.0,281.9038946626999,298.3027305507332,324.3894319488676,29.6972694492668,OVER_P90
2025-03-05,Insulator,NER,686.0,577.4253733679242,656.4878136800207,683.7759759160842,29.512186319979264,OVER_P90
2025-07-23,Conductor,WR,925.0,591.242452519099,895.6426037088322,923.0725693379914,29.357396291167788,OVER_P90
2025-11-05,Earthwire,WR,307.0,310.3695831136711,336.1092101328729,347.99627358872806,-29.109210132872875,UNDER_P10
2025-07-23,Earthwire,SR,418.0,371.182460502167,389.0280070707972,411.0104560629019,28.971992929202827,OVER_P90
2025-08-27,Insulator,ER,445.0,398.3829633146634,416.2293258135642,435.19306920274727,28.770674186435826,OVER_P90
2025-10-08,Earthwire,NR,302.0,240.8483279142132,273.3306782199821,290.9757458743841,28.669321780017924,OVER_P90
2025-02-19,Conductor,WR,993.0,591.242452519099,964.3706234929356,989.610324805386,28.62937650706442,OVER_P90
2025-09-10,Conductor,WR,1044.0,591.242452519099,1015.8448998201598,1034.946677750653,28.155100179840247,OVER_P90
2025-04-30,Tower Member,ER,1363.0,591.242452519099,1335.2817558204106,1360.9804274321746,27.71824417958942,OVER_P90
2025-01-29,Insulator,NER,684.0,577.4253733679242,656.4878136800207,683.7759759160842,27.512186319979264,OVER_P90
2025-04-09,Conductor,NR,1190.0,591.242452519099,1163.0375918268296,1182.097807983199,26.962408173170388,OVER_P90
2025-03-26,Earthwire,ER,296.0,240.04461368830985,269.0997613135203,280.3026073348498,26.900238686479724,OVER_P90
2025-06-04,Earthwire,NER,113.0,126.02867173044068,139.677927008936,200.9934815035105,-26.677927008935995,UNDER_P10
2025-10-15,Conductor,WR,1154.0,591.242452519099,1127.3251921966846,1138.597018031125,26.67480780331539,OVER_P90
2025-05-07,Conductor,NER,1385.0,591.242452519099,1358.4334666316508,1383.2569456424203,26.566533368349155,OVER_P90
2025-04-23,Earthwire,WR,310.0,310.3695831136711,336.1092101328729,347.99627358872806,-26.109210132872875,UNDER_P10
2025-06-25,Hardware Fittings,NER,118.0,143.40896102942546,143.85335320852406,207.96162533839225,-25.853353208524055,UNDER_P10
2025-04-16,Earthwire,ER,385.0,387.1353017691489,410.76193274026025,413.1215665296129,-25.76193274026025,UNDER_P10
2025-09-03,Hardware Fittings,ER,217.0,221.88722580473117,241.9379861274253,276.093014535124,-24.93798612742529,UNDER_P10
2025-10-29,Tower Member,ER,1441.0,591.242452519099,1416.1043859733395,1438.375626078913,24.895614026660496,OVER_P90
2025-12-17,Hardware Fittings,SR,420.0,376.5939713082869,395.2440883063192,418.6533195580633,24.755911693680787,OVER_P90
2025-06-25,Hardware Fittings,ER,365.0,309.6879006471467,340.3429763255366,353.5784179521035,24.657023674463403,OVER_P90
2025-07-02,Conductor,NR,1038.0,591.242452519099,1013.6710139134676,1030.2456576824277,24.32898608653238,OVER_P90
2025-01-29,Conductor,WR,1187.0,591.242452519099,1163.2199682232922,1178.7487855638726,23.7800317767078,OVER_P90
2025-06-25,Earthwire,SR,437.0,399.7147302645407,413.23579764108206,422.4312555027568,23.76420235891794,OVER_P90
2025-03-12,Earthwire,SR,318.0,319.795752620286,341.72391376158447,372.24456585786623,-23.72391376158447,UNDER_P10
2025-07-02,Earthwire,SR,390.0,391.9068399675088,413.23579764108206,422.4312555027568,-23.23579764108206,UNDER_P10
2025-08-13,Earthwire,NR,299.0,256.4411520559586,276.6242982624313,290.9757458743841,22.375701737568704,OVER_P90
2025-04-02,Hardware Fittings,NR,439.0,399.7827421928309,416.75824272440025,430.9858266834975,22.241757275599753,OVER_P90
2025-11-12,Conductor,ER,1356.0,591.242452519099,1333.8917086108854,1339.4903806904156,22.108291389114584,OVER_P90
2025-06-18,Hardware Fittings,NER,179.0,197.51530795904995,201.06234970085387,292.4347496609195,-22.062349700853872,UNDER_P10
2025-05-14,Conductor,NR,1185.0,591.242452519099,1163.0375918268296,1182.097807983199,21.962408173170388,OVER_P90
2025-03-26,Hardware Fittings,WR,438.0,401.1548275994484,416.6529247601184,432.14512408948696,21.347075239881576,OVER_P90
2025-09-10,Earthwire,WR,272.0,280.9443273675276,293.2778540415357,315.8458985717165,-21.277854041535704,UNDER_P10
2025-07-23,Hardware Fittings,NER,126.0,134.99521800124347,146.4266025555558,207.96162533839225,-20.426602555555803,UNDER_P10
2025-05-28,Conductor,WR,1035.0,591.242452519099,1014.6270236482848,1034.7908557153387,20.372976351715238,OVER_P90
2025-05-07,Hardware Fittings,WR,437.0,406.85279856561925,416.6529247601184,432.14512408948696,20.347075239881576,OVER_P90
2025-01-22,Conductor,SR,1696.5,591.242452519099,1676.8351493975065,1691.9389360124887,19.664850602493516,OVER_P90
2025-12-03,Conductor,SR,1658.0,591.242452519099,1638.3996219999483,1651.9308523033,19.600378000051705,OVER_P90
2025-11-05,Earthwire,NER,174.0,178.128790692913,193.49245570321068,284.360036951955,-19.49245570321068,UNDER_P10
2025-11-19,Hardware Fittings,NER,127.0,134.99521800124347,146.4266025555558,207.96162533839225,-19.426602555555803,UNDER_P10
2025-09-24,Hardware Fittings,ER,381.0,324.8407300570957,361.7993984004093,375.9613141883426,19.200601599590698,OVER_P90
2025-04-09,Conductor,SR,1657.5,591.242452519099,1638.3996219999483,1651.9308523033,19.100378000051705,OVER_P90
2025-08-06,Conductor,NR,1032.0,591.242452519099,1013.6710139134676,1030.2456576824277,18.32898608653238,OVER_P90
2025-10-29,Conductor,SR,1965.5,591.242452519099,1947.7572149718155,1957.7983286624528,17.74278502818447,OVER_P90
2025-08-06,Hardware Fittings,NER,122.0,126.11701544929302,139.22757287576516,206.50147902013867,-17.227572875765162,UNDER_P10
2025-08-27,Hardware Fittings,SR,442.0,411.1775424679983,425.0564965200763,430.47261609641214,16.94350347992372,OVER_P90
2025-08-20,Conductor,SR,2087.5,591.242452519099,2070.826694412435,2083.109425422915,16.67330558756521,OVER_P90
2025-11-12,Insulator,NER,346.0,357.72362497287725,362.6713227231099,389.8909498839501,-16.67132272310988,UNDER_P10
2025-03-19,Hardware Fittings,NR,432.0,433.4435361190853,448.5061584631893,516.9009806614284,-16.50615846318931,UNDER_P10
2025-06-18,Earthwire,NER,52.0,63.2656274231399,68.40775920659368,202.4370636139678,-16.40775920659368,UNDER_P10
2025-11-05,Hardware Fittings,WR,433.0,401.1548275994484,416.6529247601184,432.14512408948696,16.347075239881576,OVER_P90
2025-10-08,Hardware Fittings,ER,428.0,429.69669419159226,444.1765784048881,505.4559406734437,-16.17657840488812,UNDER_P10
2025-07-23,Earthwire,NR,271.0,275.8204915596856,287.16467326243134,295.6973262336508,-16.164673262431336,UNDER_P10
2025-03-05,Conductor,WR,1179.0,591.242452519099,1163.2199682232922,1178.7487855638726,15.780031776707801,OVER_P90
2025-07-30,Earthwire,WR,272.0,275.50570228238377,287.55811152366545,296.74900774265325,-15.558111523665445,UNDER_P10
2025-09-24,Insulator,SR,831.0,591.242452519099,815.5530130053853,824.0570229356816,15.44698699461469,OVER_P90
2025-02-19,Earthwire,NR,281.0,243.93461017370575,265.7023505877302,280.16748239014214,15.297649412269777,OVER_P90
2025-04-23,Hardware Fittings,WR,431.0,433.8834534327789,445.5677483113558,505.4559406734437,-14.567748311355786,UNDER_P10
2025-08-20,Earthwire,WR,256.0,186.35491324029417,241.88582244015828,249.89246395840112,14.114177559841721,OVER_P90
2025-02-05,Earthwire,NER,125.0,131.91010306418823,138.8853814063319,207.96162533839225,-13.885381406331902,UNDER_P10
2025-02-26,Hardware Fittings,NR,433.0,400.71491028575474,419.50774579361575,430.9858266834975,13.492254206384246,OVER_P90
2025-08-27,Earthwire,NR,349.0,306.2253995021637,335.5731665171347,348.64399053558856,13.426833482865277,OVER_P90
2025-03-26,Insulator,ER,826.0,591.5441106886003,812.6250186457206,825.8506111893834,13.374981354279385,OVER_P90
2025-11-19,Insulator,NER,375.0,324.0866190606952,362.0917469850653,374.1065989300841,12.9082530149347,OVER_P90
2025-10-29,Hardware Fittings,NER,216.0,224.6490923876824,228.44346015148335,572.7757932256294,-12.44346015148335,UNDER_P10
2025-02-05,Hardware Fittings,NR,425.0,387.5405713862917,412.5824341754272,413.9278711238596,12.417565824572819,OVER_P90
2025-06-11,Earthwire,WR,348.0,310.3695831136711,336.1092101328729,347.99627358872806,11.890789867127125,OVER_P90
2025-08-13,Conductor,ER,951.0,591.242452519099,939.1558899445348,945.7607604900678,11.844110055465194,OVER_P90
2025-09-24,Earthwire,SR,433.0,433.7176009620825,444.6653768031625,500.7706914812954,-11.665376803162474,UNDER_P10
2025-03-05,Hardware Fittings,NR,431.0,400.71491028575474,419.50774579361575,430.9858266834975,11.492254206384246,OVER_P90
2025-05-21,Conductor,ER,1345.0,591.242452519099,1333.6092086108852,1334.7710185069277,11.390791389114838,OVER_P90
2025-04-02,Hardware Fittings,NER,203.0,208.4546902792038,213.23766881636595,385.267072963244,-10.237668816365954,UNDER_P10
2025-07-30,Earthwire,SR,353.0,359.5330750986684,362.1991482660772,397.6583123122507,-9.199148266077202,UNDER_P10
2025-10-08,Conductor,ER,1316.0,591.242452519099,1307.3092086108854,1308.3354169009094,8.690791389114565,OVER_P90
2025-02-19,Conductor,NER,1366.0,591.242452519099,1357.7242661896632,1360.7517945404522,8.27573381033676,OVER_P90
2025-08-20,Hardware Fittings,NER,87.0,87.65177504663649,95.08988220549008,203.06755172830017,-8.089882205490085,UNDER_P10
2025-05-07,Hardware Fittings,NER,236.0,239.47620015742888,243.8567827452431,572.7757932256294,-7.856782745243095,UNDER_P10
2025-01-22,Insulator,SR,1240.0,591.242452519099,1247.778165873331,1235.8929595640263,-7.7781658733310906,OVER_P90
2025-09-17,Insulator,NER,355.0,357.72362497287725,362.6713227231099,389.8909498839501,-7.671322723109881,UNDER_P10
2025-03-12,Hardware Fittings,NR,420.0,387.5405713862917,412.5824341754272,413.9278711238596,7.417565824572819,OVER_P90
2025-04-02,Conductor,NR,1135.0,591.242452519099,1127.763323213345,1134.8621612350676,7.236676786654925,OVER_P90
2025-10-15,Conductor,NR,1135.0,591.242452519099,1127.763323213345,1134.8621612350676,7.236676786654925,OVER_P90
2025-09-24,Insulator,NER,421.0,391.2270702422047,414.23045796661467,415.3783940575507,6.769542033385335,OVER_P90
2025-02-05,Hardware Fittings,NER,196.0,196.86590144208105,202.1512725474819,292.4347496609195,-6.151272547481909,UNDER_P10
2025-04-23,Hardware Fittings,SR,824.0,591.242452519099,818.0189648681072,822.936447169032,5.9810351318927815,OVER_P90
2025-07-16,Insulator,NER,347.0,308.6037858009819,341.49247312834984,345.51910260053955,5.507526871650157,OVER_P90
2025-02-19,Insulator,WR,845.0,591.242452519099,839.5072855876188,835.642758136902,5.492714412381247,OVER_P90
2025-05-07,Earthwire,WR,414.0,418.0384858388746,418.388114089075,541.1370707384774,-4.388114089074975,UNDER_P10
2025-11-19,Conductor,ER,1362.0,591.242452519099,1359.7474552308065,1360.9303506510953,2.2525447691934914,OVER_P90
2025-07-23,Insulator,NER,409.0,385.77093039879617,410.54618756521967,401.4774830926305,-1.5461875652196682,OVER_P90
